latitude,longitude,brightness,scan,track,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type,acq_date
33.4123,-110.8676,305.4,2.6,1.5,606,Terra,MODIS,64,6.03,280.1,42.3,N,2,2018-11-01
37.1644,-119.2806,314.3,1.0,1.0,607,Terra,MODIS,89,6.03,273.5,18.0,N,0,2018-11-01
45.8674,-121.2274,304.4,1.1,1.0,610,Terra,MODIS,60,6.03,279.0,10.7,N,0,2018-11-01
26.4879,-80.7354,302.3,1.1,1.0,706,Aqua,MODIS,48,6.03,290.2,7.1,N,0,2018-11-01
45.8697,-121.2302,306.8,1.0,1.0,1019,Aqua,MODIS,48,6.03,275.2,12.5,N,0,2018-11-01
38.7782,-106.4863,308.5,1.0,1.0,1808,Terra,MODIS,58,6.03,267.4,15.0,D,0,2018-11-01
38.9137,-105.0483,305.7,1.1,1.1,1808,Terra,MODIS,58,6.03,269.4,13.7,D,0,2018-11-01
33.4169,-110.8681,314.2,1.0,1.0,1809,Terra,MODIS,73,6.03,293.5,10.2,D,2,2018-11-01
35.1761,-111.7298,318.4,1.2,1.1,1809,Terra,MODIS,78,6.03,283.6,21.0,D,0,2018-11-01
35.1746,-111.7175,309.8,1.2,1.1,1809,Terra,MODIS,69,6.03,284.5,12.4,D,0,2018-11-01
33.7377,-106.9034,367.9,1.1,1.1,1809,Terra,MODIS,100,6.03,291.5,127.3,D,0,2018-11-01
33.7357,-106.8917,319.0,1.1,1.1,1809,Terra,MODIS,79,6.03,289.4,19.1,D,0,2018-11-01
33.7334,-106.9113,341.7,1.1,1.1,1809,Terra,MODIS,92,6.03,288.9,53.5,D,0,2018-11-01
33.7315,-106.8995,349.9,1.1,1.1,1809,Terra,MODIS,96,6.03,290.8,72.4,D,0,2018-11-01
33.915,-109.3517,301.2,1.0,1.0,1809,Terra,MODIS,40,6.03,281.2,6.6,D,0,2018-11-01
33.4154,-110.8571,308.8,1.0,1.0,1809,Terra,MODIS,65,6.03,294.9,6.0,D,2,2018-11-01
30.6357,-97.8671,303.3,4.5,2.0,1809,Terra,MODIS,56,6.03,289.2,44.7,D,0,2018-11-01
30.6241,-97.8208,300.3,4.5,2.0,1809,Terra,MODIS,24,6.03,289.0,30.7,D,0,2018-11-01
30.6358,-97.8727,300.7,4.5,2.0,1809,Terra,MODIS,40,6.03,289.3,35.3,D,0,2018-11-01
30.6244,-97.8262,301.9,4.5,2.0,1809,Terra,MODIS,50,6.03,289.1,41.7,D,0,2018-11-01
33.2664,-112.7835,326.4,1.2,1.1,1809,Terra,MODIS,79,6.03,296.4,26.0,D,0,2018-11-01
33.0009,-110.7773,304.9,1.0,1.0,1809,Terra,MODIS,50,6.03,279.6,5.7,D,2,2018-11-01
32.9994,-110.7664,313.3,1.0,1.0,1809,Terra,MODIS,71,6.03,279.7,11.8,D,2,2018-11-01
34.8298,-120.4624,326.0,3.9,1.8,1809,Terra,MODIS,82,6.03,295.9,138.2,D,0,2018-11-01
34.824,-120.4706,327.9,3.9,1.8,1809,Terra,MODIS,83,6.03,296.2,153.8,D,0,2018-11-01
29.5521,-100.2097,305.2,3.4,1.7,1810,Terra,MODIS,61,6.03,288.2,40.6,D,0,2018-11-01
29.5444,-100.175,308.2,3.4,1.7,1810,Terra,MODIS,67,6.03,288.4,52.2,D,0,2018-11-01
29.5469,-100.2057,308.9,3.4,1.7,1810,Terra,MODIS,68,6.03,288.5,54.1,D,0,2018-11-01
29.5389,-100.1708,305.5,3.4,1.7,1810,Terra,MODIS,61,6.03,288.5,41.4,D,0,2018-11-01
26.065,-97.5951,306.8,1.1,1.0,1943,Aqua,MODIS,64,6.03,287.6,5.4,D,0,2018-11-01
26.6201,-98.5713,309.6,1.1,1.1,1943,Aqua,MODIS,61,6.03,296.0,6.6,D,0,2018-11-01
31.9921,-98.1062,306.9,1.0,1.0,1944,Aqua,MODIS,64,6.03,291.4,6.8,D,0,2018-11-01
32.1038,-101.6925,307.7,1.4,1.2,1944,Aqua,MODIS,36,6.03,287.7,10.3,D,0,2018-11-01
32.1063,-101.6784,307.5,1.4,1.2,1944,Aqua,MODIS,43,6.03,288.1,10.1,D,0,2018-11-01
32.5853,-98.5798,301.0,1.0,1.0,1944,Aqua,MODIS,31,6.03,285.3,4.8,D,0,2018-11-01
32.5763,-98.5778,302.2,1.0,1.0,1944,Aqua,MODIS,31,6.03,286.1,5.5,D,0,2018-11-01
31.4941,-103.5299,302.2,1.8,1.3,1944,Aqua,MODIS,51,6.03,291.6,7.3,D,0,2018-11-01
32.1377,-97.9905,311.1,1.0,1.0,1944,Aqua,MODIS,70,6.03,290.3,9.9,D,0,2018-11-01
31.0147,-98.7611,311.5,1.1,1.0,1944,Aqua,MODIS,71,6.03,291.7,10.4,D,0,2018-11-01
30.6247,-97.862,321.8,1.0,1.0,1944,Aqua,MODIS,81,6.03,295.2,17.5,D,0,2018-11-01
30.6263,-97.8516,333.1,1.0,1.0,1944,Aqua,MODIS,88,6.03,295.3,31.2,D,0,2018-11-01
29.5483,-100.1949,316.0,1.3,1.1,1944,Aqua,MODIS,76,6.03,291.8,17.3,D,0,2018-11-01
29.5363,-100.2054,323.8,1.3,1.1,1944,Aqua,MODIS,83,6.03,292.3,27.8,D,0,2018-11-01
29.5385,-100.1927,341.5,1.3,1.1,1944,Aqua,MODIS,92,6.03,292.6,61.8,D,0,2018-11-01
35.746,-97.0214,303.7,1.0,1.0,1945,Aqua,MODIS,57,6.03,286.0,6.7,D,0,2018-11-01
33.7233,-106.9066,301.6,2.7,1.6,1945,Aqua,MODIS,42,6.03,272.3,25.0,D,0,2018-11-01
40.879,-121.1243,300.9,3.0,1.6,1945,Terra,MODIS,29,6.03,286.0,18.5,D,0,2018-11-01
42.8855,-123.5852,327.0,1.9,1.3,1945,Terra,MODIS,80,6.03,286.8,67.2,D,0,2018-11-01
39.2495,-96.9033,343.9,1.1,1.1,1946,Aqua,MODIS,93,6.03,291.9,58.6,D,0,2018-11-01
37.9184,-120.0447,313.7,4.2,1.9,1946,Terra,MODIS,73,6.03,279.9,100.4,D,0,2018-11-01
